Label,P6:string,P5:string,P7:url,P2:wikibase-item,P3:wikibase-item,Description
Joe Wilder,Joe_Wilder,http://dbpedia.org/resource/Joe_Wilder,https://linkedjazz.org/image/square/Joe_Wilder.png,Q3,Q6,
Rob Pronk,Rob_Pronk,,https://linkedjazz.org/image/square/Rob_Pronk.png,Q3,Q6,
Jack Silverman,Jack_Silverman,,https://linkedjazz.org/image/square/Jack_Silverman.png,Q3,Q6,
Ma Rainey,Ma_Rainey,http://dbpedia.org/resource/Ma_Rainey,https://linkedjazz.org/image/square/Ma_Rainey.png,Q3,Q6,
Bennie Moten,Bennie_Moten,http://dbpedia.org/resource/Bennie_Moten,https://linkedjazz.org/image/square/Bennie_Moten.png,Q3,Q6,
Albert Wynn,Albert_Wynn,,https://linkedjazz.org/image/square/Albert_Wynn.png,Q3,Q6,
Skitch Henderson,Skitch_Henderson,http://dbpedia.org/resource/Skitch_Henderson,https://linkedjazz.org/image/square/Skitch_Henderson.png,Q3,Q6,
Julius Blitz,Julius_Blitz,,https://linkedjazz.org/image/square/Julius_Blitz.png,Q3,Q6,
Buck Clayton,Buck_Clayton,http://dbpedia.org/resource/Buck_Clayton,https://linkedjazz.org/image/square/Buck_Clayton.png,Q3,Q6,
Tito Puente,Tito_Puente,http://dbpedia.org/resource/Tito_Puente,https://linkedjazz.org/image/square/Tito_Puente.png,Q3,Q6,
Sam Wooding,Sam_Wooding,http://dbpedia.org/resource/Sam_Wooding,https://linkedjazz.org/image/square/Sam_Wooding.png,Q3,Q6,
Earl Warren,Earl_Warren,http://dbpedia.org/resource/Earle_Warren,https://linkedjazz.org/image/square/Earle_Warren.png,Q3,Q6,
Monte Carlo,Monte_Carlo,http://dbpedia.org/resource/George_Desmond_Hodnett,https://linkedjazz.org/image/square/George_Desmond_Hodnett.png,Q3,Q6,
Marion Hardy,Marion_Hardy,,https://linkedjazz.org/image/square/Marion_Hardy.png,Q3,Q6,
Johnny Dunn,Johnny_Dunn,http://dbpedia.org/resource/Johnny_Dunn,https://linkedjazz.org/image/square/Johnny_Dunn.png,Q3,Q6,
Bobby Cruz,Bobby_Cruz,http://dbpedia.org/resource/Bobby_Cruz,https://linkedjazz.org/image/square/Bobby_Cruz.png,Q3,Q6,
Paul Whiteman,Paul_Whiteman,http://dbpedia.org/resource/Paul_Whiteman,https://linkedjazz.org/image/square/Paul_Whiteman.png,Q3,Q6,
Errol Garner,Errol_Garner,http://dbpedia.org/resource/Errol_Garner,https://linkedjazz.org/image/square/Errol_Garner.png,Q3,Q6,
Chick Webb,Chick_Webb,http://dbpedia.org/resource/Chick_Webb,https://linkedjazz.org/image/square/Chick_Webb.png,Q3,Q6,
Morey Feld,Morey_Feld,http://dbpedia.org/resource/Morey_Feld,https://linkedjazz.org/image/square/Morey_Feld.png,Q3,Q6,
Hank Jones,Hank_Jones,http://dbpedia.org/resource/Hank_Jones,https://linkedjazz.org/image/square/Hank_Jones.png,Q3,Q6,
Jay McShann,Jay_McShann,http://dbpedia.org/resource/Jay_McShann,https://linkedjazz.org/image/square/Jay_McShann.png,Q3,Q6,
Cab Calloway,Cab_Calloway,http://dbpedia.org/resource/Cab_Calloway,https://linkedjazz.org/image/square/Cab_Calloway.png,Q3,Q6,
Freddie Webster,Freddie_Webster,http://dbpedia.org/resource/Freddie_Webster,https://linkedjazz.org/image/square/Freddie_Webster.png,Q3,Q6,
Doc Cheatham,Doc_Cheatham,http://dbpedia.org/resource/Doc_Cheatham,https://linkedjazz.org/image/square/Doc_Cheatham.png,Q3,Q6,
Jon Faddis,Jon_Faddis,http://dbpedia.org/resource/Jon_Faddis,https://linkedjazz.org/image/square/Jon_Faddis.png,Q3,Q6,
Herbert Blue,Herbert_Blue,,https://linkedjazz.org/image/square/Herbert_Blue.png,Q3,Q6,
Sammy Rimington,Sammy_Rimington,http://dbpedia.org/resource/Sammy_Rimington,https://linkedjazz.org/image/square/Sammy_Rimington.png,Q3,Q6,
Ted Lewis,Ted_Lewis,http://dbpedia.org/resource/Ted_Lewis_(musician),https://linkedjazz.org/image/square/Ted_Lewis_(musician).png,Q3,Q6,
Roy Hargrove,Roy_Hargrove,http://dbpedia.org/resource/Roy_Hargrove,https://linkedjazz.org/image/square/Roy_Hargrove.png,Q3,Q6,
Jimmy Cheatham,Jimmy_Cheatham,http://dbpedia.org/resource/Jimmy_Cheatham,https://linkedjazz.org/image/square/Jimmy_Cheatham.png,Q3,Q6,
Roy Roman,Roy_Roman,http://dbpedia.org/resource/Roy_Roman,https://linkedjazz.org/image/square/Roy_Roman.png,Q3,Q6,
